Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,0.616,0.511,6,-15.894,1,0.0279,0.0384,0,0.15,0.604,132.015,40,Alt. Rock
Like the Weather,"10,000 Maniacs",1987,236653,4,0.77,0.459,1,-17.453,1,0.0416,0.112,0.00343,0.145,0.963,133.351,43,Alt. Rock
What's the Matter Here?,"10,000 Maniacs",1987,291173,4,0.593,0.816,9,-7.293,1,0.041,0.00449,0.0000317,0.0896,0.519,99.978,12,Alt. Rock
Trouble Me,"10,000 Maniacs",1989,193560,4,0.861,0.385,2,-10.057,1,0.0341,0.154,0,0.123,0.494,117.913,47,Alt. Rock
Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,0.622,0.876,10,-6.31,1,0.0305,0.0193,0.00684,0.0987,0.867,104.97,43,Alt. Rock
More Than This,"10,000 Maniacs",1992,245573,4,0.623,0.773,6,-8.8,1,0.0271,0.0155,0.00573,0.0917,0.807,124.644,46,Alt. Rock
These Are Days,"10,000 Maniacs",1992,219893,4,0.611,0.833,3,-7.554,1,0.0351,0.0218,0.000204,0.0923,0.793,108.498,52,Alt. Rock
Verdi Cries,"10,000 Maniacs",1992,260253,4,0.367,0.0256,3,-25.309,1,0.0421,0.917,0.0000739,0.0843,0.178,106.872,34,Alt. Rock
Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,0.408,0.79,11,-8.138,0,0.103,0.26,0.00027,0.765,0.347,122.624,56,Alt. Rock
Be Like That,3 Doors Down,2000,265906,4,0.487,0.702,7,-6.043,1,0.0238,0.00528,0.00000497,0.129,0.306,95.982,61,Alt. Rock
Duck And Run,3 Doors Down,2000,230600,4,0.524,0.919,4,-5.505,0,0.0436,0.0149,0.0000705,0.131,0.848,87.931,48,Alt. Rock
Kryptonite,3 Doors Down,2000,233933,4,0.545,0.865,11,-5.708,0,0.0286,0.00664,0.000011,0.168,0.543,99.005,80,Alt. Rock
Loser,3 Doors Down,2000,264800,4,0.493,0.88,6,-6.424,0,0.0693,0.0108,0.0000266,0.226,0.389,147.913,61,Alt. Rock
One Light,3 Doors Down,2000,176346,4,0.372,0.976,11,-3.67,1,0.0625,0.00117,0.00326,0.0597,0.433,170.087,38,Alt. Rock
